Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
,,,,,,,,,0.001,,,,,,,,,0
0.0,,,0.8365836143493652,10.276093482971191,,,-0.05807812511920929,0.918582022190094,,,,,,0.027398841455578804,0.05275220796465874,15.63213062286377,0.9005884528160095,0.0
0.0,13.788385391235352,13.788385391235352,,,-0.2718690037727356,2.163696050643921,,,,0.0644463449716568,0.0981372594833374,12.37222671508789,0.7056535482406616,,,,,0.0
,,,,,,,,,0.001,,,,,,,,,188
1.0,,,0.7548854351043701,11.03097915649414,,,-0.017044393345713615,0.7576119899749756,,,,,,0.018249019980430603,0.04124313220381737,17.402442932128906,0.9625003337860107,1.0
1.0,4.599092483520508,18.38747787475586,,,-0.030383137986063957,0.8074895739555359,,,,0.021694691851735115,0.045436613261699677,16.664318084716797,0.9390302896499634,,,,,1.0
,,,,,,,,,0.001,,,,,,,,,376
2.0,,,0.7503750324249268,11.781353950500488,,,-0.007885417900979519,0.7441067695617676,,,,,,0.016464563086628914,0.03906191885471344,17.848031997680664,0.9734325408935547,2.0
2.0,4.488275051116943,22.87575340270996,,,-0.010244526900351048,0.738756537437439,,,,0.017208058387041092,0.03968393802642822,17.649803161621094,0.9689081311225891,,,,,2.0
,,,,,,,,,0.001,,,,,,,,,564
3.0,,,0.7673497200012207,12.548704147338867,,,-0.002988504944369197,0.7758307456970215,,,,,,0.014606774784624577,0.03654634952545166,18.370651245117188,0.9874545335769653,3.0
3.0,4.523551940917969,27.39930534362793,,,-0.004299848340451717,0.7602812647819519,,,,0.015116328373551369,0.037059199064970016,18.211193084716797,0.9831371903419495,,,,,3.0
,,,,,,,,,0.001,,,,,,,,,752
4.0,,,0.7434189319610596,13.292122840881348,,,-0.0017469533486291766,0.8075664043426514,,,,,,0.013825718313455582,0.035714130848646164,18.609928131103516,0.9917712211608887,4.0
4.0,4.459258079528809,31.858562469482422,,,-0.001589159364812076,0.789480447769165,,,,0.013994039036333561,0.03570650890469551,18.545682907104492,0.9905137419700623,,,,,4.0
,,,,,,,,,0.001,,,,,,,,,940
